# EOS 2000D hot pixels: per-pixel MIN of 235 x 10s ISO1600 JPEGs (IMG_9347-9581, night3 2026-07-12), threshold median+15
# x,y,min_value (6000x4000 frame; JPEG demosaic spreads each hot photosite over ~2-3 px)
x,y,value
5534,2621,82
514,2600,82
4040,2923,82
2420,1757,82
3893,1530,82
3894,1531,82
4806,2243,82
4336,3265,82
2585,512,82
5148,1476,81
4306,1878,81
4300,1879,81
3794,1037,81
4806,2245,81
507,2600,81
3894,1529,81
2420,1759,81
2419,1758,80
200,2563,80
5534,2619,80
3793,1036,80
206,2564,80
3900,1530,80
1876,1311,80
5142,1475,80
1876,1313,80
4040,2925,80
508,2601,79
2426,1758,79
5182,3821,79
1882,1312,79
5142,1477,78
5904,48,78
5141,1476,78
2586,513,78
3800,1036,78
199,2564,78
1875,1312,78
1484,313,77
1484,311,77
4299,1878,77
116,474,77
3794,1035,77
3417,3876,77
4805,2244,77
119,77,76
2586,511,76
5533,2620,76
117,77,76
508,2599,76
5897,48,75
5898,49,75
1435,430,74
5790,865,74
3761,2332,73
5898,47,73
200,2565,73
1993,3262,73
4757,2852,72
3761,2330,72
1487,312,71
815,3354,71
3339,2216,70
1907,3030,70
815,3356,70
2285,2036,70
2795,1010,69
117,474,69
2285,2034,69
5790,867,69
357,1654,68
4757,2850,68
4445,3652,68
4067,1046,68
1485,311,68
1907,3028,67
1993,3264,67
1998,3264,67
1485,313,67
118,76,67
1483,313,67
4339,2635,67
1483,311,66
3344,2218,66
3339,2218,66
3344,2216,66
3766,2330,66
4341,2635,66
5792,866,66
2285,16,66
2800,1010,65
2795,1012,65
4067,1044,65
3766,2332,65
4941,2536,65
4072,1046,65
820,3354,65
4941,2534,65
291,1712,65
1912,3030,65
1912,3028,65
2800,1012,64
118,78,64
5785,866,64
115,474,64
2290,2036,64
4072,1044,64
1998,3262,63
2290,2034,63
291,1714,63
2285,18,63
357,1652,62
4446,3651,61
5187,3819,61
3423,3875,61
4946,2536,61
2143,141,60
4340,2634,60
820,3356,60
296,1712,60
362,1654,60
296,1714,60
2290,16,60
5786,865,59
4045,2923,59
362,1652,59
4340,2636,59
4762,2852,59
3425,3876,59
5187,3821,59
4045,2925,59
5180,3820,59
3423,3877,58
5786,867,58
4341,3265,58
1881,1311,57
2290,18,57
4047,2924,57
4341,3263,57
4946,2534,57
4811,2245,57
4762,2850,57
4453,3652,56
2425,1759,56
